231,722
332,576
359,550
391,537
391,537
428,539
465,541
466,541
466,541
499,521
514,493
726,76
753,40
785,18
823,10
854,12
883,24
911,40
939,63
963,93
982,136
990,188
978,244
955,280
955,280
529,871
511,881
487,879
467,879
455,885
443,902
422,940
423,940
397,972
373,985
259,988
249,979
246,962
253,950
266,945
301,946
312,938
323,929
341,929
360,929
360,929
372,920
371,919
380,901
387,857
385,838
373,827
359,825
172,912
172,912
149,929
139,946
132,965
114,984
88,989
87,989
22,990
10,977
10,977
11,961
23,950
98,907
119,886
119,887
